ID_1,SR_ssp370,PD_ssp370,Pdses_ssp370,PE_ssp370,Res_PD_ssp370,EDGE_ssp370
18809,2,253.645516,-0.957736343,0.026045122,-110.0887047,1.810621355
18810,31,2577.373903,-0.234297377,0.566054632,60.46981338,1.791367945
18812,5,387.443835,-4.460046902,0.045877145,-199.0320962,1.738682456
18813,1,109.58844,1.913635585,0.02799488,-179.8985438,1.706344326
18814,1,3.119954,-0.817369383,0.0165295,-286.3670298,2.175074856
18815,5,820.054915,-0.541816523,0.196198729,233.5789838,1.507568075
18816,5,883.541089,-0.339046118,0.072295419,297.0651578,1.758518537
18817,7,1086.423727,-0.172477631,0.148049831,351.453322,1.707181837
18818,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
18819,27,2021.664347,-2.288065992,0.412136317,-198.2507952,1.655567433
18820,2,77.595158,-1.450379378,0.028387746,-286.1390627,2.138812003
18821,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18822,1,3.433891,-0.811140236,0.019458138,-286.0530928,1.453576403
18823,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18824,26,2353.490867,-0.142668115,0.429536578,207.8229617,1.815734445
18825,3,776.922814,0.66935054,0.053883293,338.9413565,1.768033223
18826,7,1086.423727,-0.261723579,0.152453336,351.453322,1.903947681
18827,1,1.944663,-0.710483421,0.021714945,-287.5423208,2.149981543
18828,29,1885.678224,-4.26943429,0.274196894,-482.7313919,1.677336531
18829,7,1134.250723,0.114837559,0.105515991,399.280318,1.830566294
18830,3,321.466212,-1.87480868,0.030469621,-116.5152455,1.924276733
18831,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18832,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18833,8,1277.798116,0.858729299,0.138139557,468.5804742,1.753599408
18834,3,321.466212,-2.065757251,0.03416547,-116.5152455,1.45569461
18836,6,918.55751,-1.213721664,0.089313131,257.8343419,1.948887631
18837,7,1182.35312,0.658552272,0.119441297,447.382715,2.040368635
18838,7,1059.250246,-0.697177174,0.09744609,324.279841,2.017276566
18839,14,1463.220223,-1.629103595,0.203560183,208.51916,1.746517349
18840,23,1936.766443,-1.817380461,0.253422215,13.84024827,1.747512494
18842,40,3034.6247,-0.07609663,0.69334869,-150.5045214,1.804356085
18843,1,3.433891,-0.811140236,0.019458138,-286.0530928,1.453576403
18844,33,2629.030242,-0.656169645,0.533774441,-36.36832134,1.80151869
18845,8,415.452116,-9.276452749,0.046325546,-393.7655258,1.44840046
18846,44,3445.629833,1.017340345,1.115298574,-36.48833581,1.75686319
18847,22,1515.65887,-4.693680904,0.195452175,-333.0200879,1.626090673
18848,8,409.29322,-8.85916443,0.049508479,-399.9244218,1.534360887
18849,31,2548.210444,-0.515786115,0.492405192,31.30635438,1.749275024
18850,24,1501.38297,-5.516649966,0.300342929,-495.7904616,1.618391258
18851,21,2168.985469,0.542302091,0.312936292,394.553748,1.834502613
18852,2,253.645516,-0.71995115,0.02677532,-110.0887047,1.802581947
18853,4,256.059637,-3.270604581,0.028147601,-256.1690574,1.437794117
18854,26,2283.523685,-0.657620437,0.360105974,137.8557797,1.817411662
18855,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18856,7,1134.250723,0.114837559,0.105515991,399.280318,1.830566294
18857,24,1891.373747,-2.133015118,0.272067619,-105.7996846,1.70528589
18858,20,1996.897072,-0.217358319,0.267776895,296.7125879,1.811998702
18859,21,2107.15804,0.088354737,0.289286681,332.726319,1.860446182
18860,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
18861,6,1047.626148,0.272947088,0.148313572,386.9029799,1.980157845
18862,26,2331.007159,-0.245708712,0.358005304,185.3392537,1.764185888
18863,27,1980.61205,-2.594072506,0.403233728,-239.3030922,1.627738812
18864,7,1186.320071,0.66528285,0.108249754,451.349666,2.016005166
18865,3,776.922813,0.673098227,0.060115345,338.9413555,1.704131321
18866,1,3.433891,-0.811140236,0.019458138,-286.0530928,1.453576403
18867,50,3968.469908,2.518651294,2.127143672,40.86831803,1.773471248
18868,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18869,8,363.159817,-8.627300386,0.044509233,-446.0578248,1.447269664
18870,4,844.74351,0.250638367,0.06687873,332.5148156,1.83475407
18871,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18872,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18873,2,253.645516,-0.71995115,0.02677532,-110.0887047,1.802581947
18874,32,2535.526222,-0.878717419,0.499471424,-55.62510448,1.808299362
18875,8,1228.015649,0.217568499,0.113936719,418.7980072,1.942842723
18876,4,815.720393,0.114119208,0.067870921,303.4916986,1.660251298
18877,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18878,33,2670.528716,-0.384858364,0.452714289,5.13015266,1.75944122
18879,13,477.721818,-10.27046019,0.063849367,-702.7320081,1.558997364
18881,59,4376.974922,2.555307785,3.0529517,-218.8517997,1.809542442
18882,37,2880.859419,-0.257488816,0.750290534,-81.52809178,1.733655828
18883,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18884,1,1.782218,-0.772922246,0.018181212,-287.7047658,1.446686698
18885,23,2246.238422,0.322872399,0.402059692,323.3122273,1.84188331
18886,10,1415.722696,0.519805122,0.161114358,458.0105805,1.827664508
18888,25,2423.535782,0.636275438,0.464707329,352.1151135,1.819645015
18889,3,321.466212,-1.56422906,0.031356528,-116.5152455,1.92674625
18890,4,332.544838,-3.676605099,0.035328403,-179.6838564,1.457890126
18892,5,968.477746,0.389591664,0.095779103,382.0018148,1.794895862
18893,7,1222.968537,1.185631227,0.127999173,487.998132,1.757804829
18894,1,3.119954,-0.817369383,0.0165295,-286.3670298,2.175074856
18896,7,1054.469698,-0.897713562,0.093061181,319.499293,1.806247185
18897,33,2528.10578,-1.121110506,0.611246515,-137.2927833,1.737297992
18898,12,983.822543,-4.371432077,0.217860781,-122.3840463,1.646442348
18899,3,264.724142,-2.476715224,0.030005909,-173.2573155,1.455284384
18901,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
18902,15,533.855649,-9.750179588,0.074447086,-795.0926508,1.544555304
18905,3,321.466212,-1.87480868,0.030469621,-116.5152455,1.924276733
18906,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18907,57,4157.993929,2.074903058,3.432860828,-289.338319,1.812851547
18908,2,253.645516,-0.71995115,0.02677532,-110.0887047,1.802581947
18909,1,109.58844,1.913635585,0.02799488,-179.8985438,1.706344326
18910,3,773.834292,0.687603311,0.082229001,335.8528345,1.792068374
18911,7,1134.250723,0.114837559,0.105515991,399.280318,1.830566294
18912,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
18913,38,2901.307118,-0.414163689,0.720179193,-135.3276296,1.798577632
18914,5,968.477746,0.452532344,0.101845873,382.0018148,2.071745984
18916,7,1134.250723,0.114837559,0.105515991,399.280318,1.830566294
18917,22,2157.951316,0.11234268,0.382431581,309.2723581,1.818349372
18918,27,2254.466522,-1.006437051,0.336176619,34.55137983,1.743431308
18919,13,1696.654951,0.839584663,0.198860224,516.2011249,1.805524053
18920,1,1.782218,-0.772922246,0.018181212,-287.7047658,1.446686698
18921,10,412.859976,-10.31056199,0.048140594,-544.8521395,1.588347662
18922,6,335.929888,-5.215644549,0.039351797,-324.7932801,1.684776765
18923,8,398.037412,-8.742617764,0.044315304,-411.1802298,1.715454954
18924,15,1000.921814,-5.675914908,0.221657564,-328.0264858,1.606107062
18925,13,1619.520958,0.261154635,0.186720582,439.0671319,1.791209808
18926,4,841.654988,0.372347186,0.086653499,329.4262936,1.881948153
18927,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18928,18,1110.952805,-6.771751252,0.114878017,-440.7372054,1.571188431
18930,7,1146.085512,0.218833234,0.109560265,411.115107,1.835915609
18931,20,1795.271224,-1.683191654,0.251268697,95.08673985,1.674780698
18932,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
18933,3,292.443095,-2.039422872,0.030915083,-145.5383625,1.683950197
18934,12,1560.187526,0.242221654,0.169873822,453.9809367,1.816479205
18935,1,3.433891,-0.811140236,0.019458138,-286.0530928,1.453576403
18936,2,77.595158,-1.450379378,0.028387746,-286.1390627,2.138812003
18938,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18939,2,135.641392,-1.510462594,0.02185252,-228.0928287,1.470183993
18940,20,1971.150523,-0.446804829,0.269706338,270.9660389,1.833193167
18941,3,688.897635,0.124666515,0.06078337,250.9161775,1.488643446
18942,14,1721.908532,0.489166564,0.204474626,467.207469,1.783068853
18943,41,2913.63635,-0.965844046,0.559301963,-345.7401082,1.792961288
18945,25,1706.471304,-4.228482345,0.249742123,-364.9493645,1.617791401
18947,9,1283.489507,-0.011351726,0.136658089,400.0246283,1.914130939
18948,8,1257.984959,0.59154365,0.134416363,448.7673172,1.806178386
18951,38,3115.719364,0.831985205,1.165469813,79.08461636,1.705625411
18952,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
18953,23,2090.780968,-0.676013289,0.316678914,167.8547733,1.671468435
18954,39,3039.775795,0.122208332,0.665224251,-71.1061895,1.80047964
18955,1,1.424012,-0.671597605,0.018571231,-288.0629718,1.446167853
18956,4,841.654988,0.372347186,0.086653499,329.4262936,1.881948153
18957,38,2824.000262,-0.867323188,0.754342319,-212.6344856,1.74465679
18958,32,2596.48151,-0.508412248,0.442770152,5.330183521,1.787432791
18959,1,3.119954,-0.817369383,0.0165295,-286.3670298,2.175074856
18960,9,1301.563087,0.093742411,0.134415358,418.0982083,1.930368829
18961,6,1018.603031,0.023972351,0.148028837,357.8798629,1.86267438
18962,36,2857.193285,-0.11409378,0.667565411,-30.94698892,1.798062297
18963,4,900.65705,0.684410912,0.09263153,388.4283556,1.707445381
18964,51,3670.788076,0.751105696,1.331798268,-331.0607508,1.695932869
18965,8,1121.440149,-0.826878901,0.157907924,312.2225072,1.847651271
18966,10,1345.74325,-0.166752919,0.13261564,388.0311345,1.928927763
18967,7,1134.250723,0.114837559,0.105515991,399.280318,1.830566294
18968,11,474.112614,-9.608627065,0.062696327,-557.8467384,1.515754128
18969,33,2485.925946,-1.398001628,0.401325553,-179.4726173,1.770292109
18970,6,335.929888,-5.215644549,0.039351797,-324.7932801,1.684776765
18971,9,397.968386,-9.182579808,0.046156547,-485.4964927,1.602894705
18972,5,820.054915,-0.541816523,0.196198729,233.5789838,1.507568075
18973,6,308.833841,-9.097234362,0.036693617,-351.8893271,1.446315703
18974,32,2603.526491,-0.54240631,0.417337005,12.37516452,1.809573912
18975,13,1619.520958,0.261154635,0.186720582,439.0671319,1.791209808
18976,29,2595.319001,0.306437342,0.432582944,226.9093851,1.800118896
18977,4,841.654988,0.372347186,0.086653499,329.4262936,1.881948153
18978,3,288.661938,-1.707037952,0.03319251,-149.3195195,1.916652393
18979,5,980.655695,0.524163504,0.094465942,394.1797638,1.779888897
18980,14,478.505487,-10.04885719,0.064241987,-776.195576,1.549833668
18981,3,776.922814,0.681973616,0.062454232,338.9413565,1.72914293
18982,16,1399.751264,-3.200307497,0.194358621,-3.444272706,1.62181997
