ID_1,SR_ssp585,PD_ssp585,Pdses_ssp585,Res_pd_ssp585,PE_ssp585,EDGE_ssp585
10591,6,1118.499374,0.858851287,432.2122507,0.101044775,1.881342624
10592,6,918.557511,-1.199703139,232.2703877,0.078804881,1.822897661
10593,26,2503.804914,0.7550899,336.6860137,0.42504964,1.800882661
10594,1,109.58844,1.913635585,-206.490739,0.027119957,1.706344326
10595,3,688.897635,0.207636003,224.7352783,0.061942545,1.947763748
10596,2,253.645516,-0.71995115,-136.4752519,0.028111939,1.802581947
10597,2,77.595158,-1.450379378,-312.5256099,0.02784635,2.138812003
10599,28,2566.814744,0.442210026,251.612666,0.424249829,1.811885349
10600,3,308.995679,-1.941342403,-155.1666777,0.035195175,1.923741417
10601,4,841.654988,0.372347186,303.4510424,0.083272339,1.881948153
10602,6,929.885217,-1.208399931,243.5980937,0.134806704,1.832359942
10603,37,2946.391456,0.178270275,-35.18492169,0.562992118,1.833008427
10604,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
10605,47,3797.923942,2.497174062,75.93167579,1.772847362,1.773396381
10606,5,968.477746,0.452532344,356.2322116,0.097693106,2.071745984
10607,6,886.97498,-1.27300398,200.6878567,0.072418174,1.707694848
10608,6,1059.804099,0.414102186,373.5169757,0.145339026,1.891128723
10609,4,723.914057,-0.700317885,185.7101114,0.068504042,1.824216911
10610,13,946.595838,-5.135389608,-257.9824073,0.215478039,1.575641917
10611,5,820.054915,-0.541816523,207.8093806,0.199983249,1.507568075
10612,2,253.645516,-0.708764247,-136.4752519,0.02745872,1.447898195
10613,5,363.697682,-7.252965263,-248.5478524,0.043709921,1.592452271
10614,6,918.557511,-1.199703139,232.2703877,0.078804881,1.822897661
10615,2,650.100056,0.832749411,259.9792881,0.05270603,1.506176967
10616,3,146.720018,-3.371166103,-317.4423387,0.02470851,1.464734808
10618,13,961.340566,-4.79918463,-243.2376793,0.219122714,1.525567187
10619,4,327.459517,-3.037609793,-210.7444286,0.040120711,1.799160969
10620,36,2797.927626,-0.461333061,-109.6071628,0.506716869,1.780363716
10621,2,650.100055,0.90533929,259.9792871,0.28254561,1.52750961
10622,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
10623,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10624,3,776.922814,0.66935054,312.7604573,0.053322369,1.768033223
10625,30,2607.723755,0.13787369,144.4384993,0.47753689,1.887010573
10626,29,2272.538534,-1.358141866,-116.7051329,0.479719251,1.630709058
10627,24,1880.53832,-2.39095275,-138.4974026,0.340283709,1.670895601
10628,2,110.700325,-1.624332515,-279.4204429,0.029421293,1.476292947
10629,3,308.995679,-1.941342403,-155.1666777,0.035195175,1.923741417
10630,19,1176.253751,-5.860893147,-472.5740274,0.254923251,1.616054914
10631,33,2651.994725,-0.357369704,-33.41529729,0.544853986,1.774649033
10632,6,921.45551,-1.627158262,235.1683867,0.081979698,1.838829017
10633,7,1177.197488,0.712954238,416.8687759,0.107497358,1.931652538
10634,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10635,3,786.012243,0.740904058,321.8498863,0.060895738,2.236776271
10636,33,2539.135849,-1.118569752,-146.2741733,0.430913099,1.779567154
10637,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10638,18,1774.186275,-1.086663858,199.4000855,0.256665624,1.735264155
10639,6,1106.583753,0.798249377,420.2966297,0.108287268,1.886231296
10640,4,332.544838,-3.641044442,-205.6591076,0.036283474,1.456381035
10641,27,2455.548864,0.131169042,214.3883748,0.425846917,1.820765253
10642,28,1978.76934,-2.838575654,-336.432738,0.29121926,1.618737767
10643,31,2451.683654,-0.947407595,-85.64319058,0.374395891,1.771873531
10644,3,786.012243,0.740904058,321.8498863,0.060895738,2.236776271
10645,6,1007.275325,-0.08214905,320.9882017,0.102019852,1.967569436
10646,24,2383.825284,0.750255745,364.7895614,0.360697413,1.827450522
10647,5,968.477746,0.452532344,356.2322116,0.097693106,2.071745984
10648,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10649,5,968.477746,0.453093417,356.2322116,0.094999929,1.796273803
10650,42,3233.219137,0.465325974,-118.565185,0.804039101,1.800666398
10651,1,1.944663,-0.710483421,-314.134516,0.021612167,2.149981543
10652,17,1906.29461,0.377178767,405.5500093,0.265950254,1.818042676
